component;property;de;en;Dev-status
SHOGun.client.view.window.RedliningStylerWindow;config.data.styleStrokeWidthFieldLabel;Strichstärke;Stroke Width;OK
SHOGun.client.view.window.RedliningStylerWindow;config.data.styleStrokeColorFieldLabel;Strichfarbe;Stroke Color;OK
SHOGun.client.view.window.RedliningStylerWindow;config.data.styleFillColorFieldLabel;Füllfarbe;Fill Color;OK
SHOGun.client.view.window.RedliningStylerWindow;config.data.lineStyleFieldSetTitle;Linienstil;Line Style;OK
SHOGun.client.view.window.RedliningStylerWindow;config.data.polygonStyleFieldSetTitle;Polygonstil;Polygon Stile;OK
SHOGun.client.view.window.RedliningStylerWindow;config.data.closeStylerBtnText;Ok;OK;OK
SHOGun.view.window.PrintWindow;config.data.title;Karte drucken;Print map;OK
SHOGun.view.window.WaterDataChartWindow;config.data.title;Gewässerparameter;Water parameters;OK
SHOGun.view.window.WaterDataChartWindow;config.data.undoZoomBtnText;Rauszoomen;Zoom Out;OK
SHOGun.view.window.WaterDataChartWindow;config.data.altitude;Höhe;Altitude;OK
SHOGun.view.window.WaterDataChartWindow;config.data.dateFieldFromLabel;Von;From;OK
SHOGun.view.window.WaterDataChartWindow;config.data.dateFieldToLabel;Bis;To;OK
SHOGun.view.window.WaterDataChartWindow;config.data.updateTimeRangeBtnText;Aktualisieren;Update;OK
SHOGun.view.window.WaterDataChartWindow;config.data.chartlegendTemp;Temperatur;Temperature;OK
SHOGun.view.window.WaterDataChartWindow;config.data.chartlegendLeitfaehigkeit;Leitfähigkeit;Conductivity;OK
SHOGun.view.window.WaterDataChartWindow;config.data.chartlegendpH;pH;pH;OK
SHOGun.view.window.WaterDataChartWindow;config.data.chartlegendTruebung;Trübung;Turbidity;OK
SHOGun.view.window.WaterDataChartWindow;config.data.chartlegendChlorophyll;Chlorophyll;Chlorophyll;OK
SHOGun.view.window.WaterDataChartWindow;config.data.chartlegendSauerstoff;Sauerstoffsättigung in %;Oxygen saturation in%;OK
SHOGun.view.window.WaterDataChartWindow;config.data.chartlegendSauerstoff2;Sauerstoffkonzentration;Oxygen concentration;OK
SHOGun.view.window.WaterDataChartWindow;config.data.chartlegendWasserstand;Wasserstand;Water level;OK
SHOGun.view.window.WaterDataChartWindow;config.data.currentDayBtnText;Heute;Today;NOT OK - not binding
SHOGun.view.window.WaterDataChartWindow;config.data.hourLabel;Std;Hours;NOT OK - not binding
SHOGun.view.window.WaterDataChartWindow;config.data.minuteLabel;Min;Minutes;NOT OK - not binding
BasiGX.view.button.AddWms;config.data.tooltip;WMS hinzufügen;Add WMS; -
BasiGX.view.button.AddWms;config.data.text;;; -
BasiGX.view.button.AddWms;config.data.windowTitle;WMS hinzufügen;Add WMS; -
BasiGX.view.button.CoordinateTransform;config.data.tooltip;Koordinaten transformieren und anzeigen;Transform coordinates; -
BasiGX.view.button.CoordinateTransform;config.data.text;Koordinaten transformieren;Transform coordinates; -
BasiGX.view.button.CoordinateTransform;config.data.windowTitle;Koordinaten transformieren;Transform coordinates; -
BasiGX.view.button.Help;config.data.tooltip;Hilfe;Help; -
BasiGX.view.button.Help;config.data.text;;; -
BasiGX.view.button.Hsi;config.data.tooltip;Informationsabfrage;Query object information; -
BasiGX.view.button.Hsi;config.data.text;;; -
BasiGX.view.button.Measure;config.data.textline;Strecke messen;Measure line; -
BasiGX.view.button.Measure;config.data.textpoly;Fläche messen;Measure area; -
BasiGX.view.button.Measure;config.data.continuePolygonMsg;Klicken zum Zeichnen der Fläche;Click to start measuring the area; -
BasiGX.view.button.Measure;config.data.continueLineMsg;Klicken zum Zeichnen der Strecke;Click to start measuring the line; -
BasiGX.view.button.Measure;config.data.clickToDrawText;Klicken zum Messen;Click to start measuring; -
BasiGX.view.button.Permalink;config.data.tooltip;Permalink erzeugen;Create permalink; -
BasiGX.view.button.Permalink;config.data.text;Permalink;Permalink; -
BasiGX.view.button.Permalink;config.data.windowTitle;Link zur Anwendung;Link to application; -
